id,nombre,pais,descripcion,temp,feels_like,temp_max,temp_min,humedad,fecha_solicitud,sensacion_termica
3427833,Tandil,AR,cielo claro,19.0,290.57,19.0,19.0,30,2023-10-07 15:59:15.026864,17.0
3430545,Mor칩n,AR,cielo claro,22.0,294.26,24.0,20.0,41,2023-10-07 15:59:15.026864,21.0
3844377,Merlo,AR,cielo claro,21.0,293.02,21.0,21.0,32,2023-10-07 15:59:15.026864,20.0
3433359,Ituzaing칩,AR,cielo claro,22.0,294.21,24.0,20.0,41,2023-10-07 15:59:15.026864,21.0
3433723,Gonz치lez Cat치n,AR,cielo claro,22.0,294.24,25.0,20.0,23,2023-10-07 15:59:15.026864,21.0
7647007,Bariloche,AR,nubes dispersas,7.0,274.19,7.0,7.0,49,2023-10-07 15:59:15.026864,1.0
3430443,Necochea,AR,cielo claro,17.0,289.49,17.0,17.0,40,2023-10-07 15:59:15.026864,16.0
3436077,Belgrano,AR,cielo claro,22.0,294.26,24.0,20.0,42,2023-10-07 15:59:15.026864,21.0
3432043,La Plata,AR,cielo claro,20.0,292.84,24.0,20.0,62,2023-10-07 15:59:15.026864,20.0
3430863,Mar del Plata,AR,cielo claro,17.0,289.09,19.0,17.0,45,2023-10-07 15:59:15.026864,16.0
