id,nombre,pais,descripcion,temp,feels_like,temp_max,temp_min,humedad,fecha_solicitud
3427833,Tandil,AR,cielo claro,291.86,290.57,291.86,291.86,30,2023-10-07 15:59:42.950983
3430545,Mor칩n,AR,cielo claro,294.95,294.26,297.6,292.98,41,2023-10-07 15:59:42.950983
3844377,Merlo,AR,cielo claro,294.04,293.02,294.04,294.04,32,2023-10-07 15:59:42.950983
3433359,Ituzaing칩,AR,cielo claro,294.91,294.21,297.6,292.98,41,2023-10-07 15:59:42.950983
3433723,Gonz치lez Cat치n,AR,cielo claro,295.36,294.24,297.66,293.05,23,2023-10-07 15:59:42.950983
7647007,Bariloche,AR,nubes dispersas,280.01,274.19,280.01,280.01,49,2023-10-07 15:59:42.950983
3430443,Necochea,AR,cielo claro,290.64,289.49,290.64,290.64,40,2023-10-07 15:59:42.950983
3436077,Belgrano,AR,cielo claro,294.93,294.26,297.65,293.03,42,2023-10-07 15:59:42.950983
3432043,La Plata,AR,cielo claro,293.16,292.84,297.61,293.07,62,2023-10-07 15:59:42.950983
3430863,Mar del Plata,AR,cielo claro,290.16,289.09,292.33,290.16,45,2023-10-07 15:59:42.950983
